feature,importance
km_power_ratio,0.2292072
vehicleAge,0.16062596
vehicleType_convertible,0.07350281
seller_private,0.063455
power,0.051312774
fuelType_diesel,0.050008398
vehicleType_suv,0.0480301
brand_freq,0.043382134
vehicleType_van,0.041402154
fuelType_gasoline,0.031235255
vehicleType_station-wagon,0.031171199
vehicleType_coupe,0.027683394
kmPerYear,0.02311742
model_freq,0.022827512
kilometer,0.020540813
vehicleType_sedan,0.016774105
gearbox_manual,0.016514108
fuelType_hybrid,0.013807895
dataSource_kaggle,0.012574052
fuelType_electric,0.010580441
fuelType_lpg,0.009589976
vehicleType_other,0.0026572838
log_km,0.0
gearbox_semi-automatic,0.0
